"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PDK4",285.392917854431,4.0480072916152,0.299653606372986,13.5089556925824,1.38471740106076e-41,5.74069216544765e-39
"EPSTI1",298.605447898975,5.92314894377033,0.439230580077347,13.4852836128288,1.90929885727505e-41,7.72241535370538e-39
"IHH",238.185511921024,-5.34690037859475,0.397187297731232,-13.4619118212911,2.62047142167179e-41,1.03464946632341e-38
"UBE2L6",726.40990357951,3.1447707086815,0.234780957926777,13.3944879365484,6.51236386511869e-41,2.51150069709914e-38
"ACSL1",1357.57386832473,2.51842992707835,0.188103179968622,13.3885558314243,7.05389950789651e-41,2.65851853498745e-38
"SAMD9",501.194059155336,3.49395815787208,0.261999909906331,13.3357227455583,1.43457607897112e-40,5.28657224835067e-38
"OAS1",799.012967466848,9.12301479853145,0.684568921127684,13.3266564066379,1.61996915883623e-40,5.8399888176046e-38
"RSAD2",1336.1458865288,10.1872040845789,0.765536933597954,13.3072666222647,2.10025794797557e-40,7.41033564920826e-38
"PARP12",257.467511212609,4.54145170672384,0.345446699466042,13.1466061587607,1.77985582266609e-39,6.14903106401495e-37
"DDX60L",300.34446851297,4.21380017795475,0.322117063013838,13.0815801514176,4.19625271865013e-39,1.42013181292602e-36
"PARP10",731.202423871285,3.29359271903688,0.252600619493666,13.0387357150542,7.36684984582907e-39,2.44328941986767e-36
"APOL2",5050.7952171759,2.77009956679432,0.215166685309698,12.8742029129984,6.28849245403697e-38,2.04474647775088e-35
"SELENOP",1068.01478086251,3.59093879202554,0.279416125456415,12.8515803665944,8.42708423536711e-38,2.68742957452102e-35
"AL671883.2",3007.36372924257,2.67052211953123,0.208569038901548,12.8040198756049,1.55679010210173e-37,4.87099061568924e-35
"IFITM3",2587.33350956391,2.31437000320365,0.181704988702684,12.7369645694789,3.68453248525256e-37,1.13149263338784e-34
"HLA-B",8730.39885537328,2.64834103563574,0.207987744235321,12.7331590876785,3.86863579411979e-37,1.16642886134343e-34
"CCDC152",979.851848231753,3.62249121134873,0.285610257619915,12.6833372216255,7.31497708568294e-37,2.16614758949786e-34
"APOE",3575.59055653089,2.53778938529472,0.200502539229807,12.6571433710674,1.02149123456335e-36,2.97182265662528e-34
"TRIM22",1674.14723830445,2.50843538227771,0.199409260835477,12.5793324330473,2.74338322273687e-36,7.84371103149059e-34
"SAMD9L",532.642693967446,2.98229277786162,0.237113484990827,12.5774912294718,2.8080657804849e-36,7.89256861657306e-34
"OASL",1320.5677959636,8.35674311920936,0.674593689932183,12.3878169095378,3.04212408749121e-35,8.40792395714444e-33
"TNFSF10",246.103125060246,3.76580686760534,0.304144472110798,12.3816383755726,3.28566157850736e-35,8.73617897237262e-33
"AC012349.1",413.994697822597,-3.75038003696891,0.302911120335255,-12.3811236537572,3.30680358689053e-35,8.73617897237262e-33
"SOD2",6267.37658603364,2.07843533356868,0.16788826049779,12.3798729429092,3.35874102275803e-35,8.73617897237262e-33
"METTL7A",415.535998870212,3.6308352784956,0.293292618807071,12.379565818136,3.37161824900107e-35,8.73617897237262e-33
"CSPG4",4714.16621624452,-2.33384323400751,0.188838032057169,-12.3589682045668,4.35713329643072e-35,1.11160525314939e-32
"SCIN",515.633802170604,-2.95368171508157,0.24100064149532,-12.2559081036261,1.56189813383868e-34,3.91396644984399e-32
"XAF1",467.911060242803,3.35925615570064,0.27411524280694,12.2549046207787,1.58135290441746e-34,3.91396644984399e-32
"USP18",213.337618418544,5.7021647474779,0.474486193607223,12.0175567262092,2.87342595189382e-33,7.00735625886107e-31
"C1R",7613.93658421924,2.45442747325347,0.204415796861466,12.0070342455816,3.26339612996966e-33,7.84302869902708e-31
"H19",380.464141886402,-3.33472086289035,0.279742349583694,-11.9206865455052,9.23444164193231e-33,2.18763922497376e-30
"BST2",1440.96173574976,6.51773905670621,0.547448480029003,11.9056665503225,1.10576182179327e-32,2.58265468884476e-30
"SPARCL1",2454.4406694922,2.90910884891305,0.244576916271241,11.89445387269,1.26477652242193e-32,2.91302625990596e-30
"EIF2AK2",1173.64660148163,2.24791038785325,0.19053635103895,11.7978032831842,4.00633672255983e-32,9.1009701192068e-30
"TRPV4",583.935286899103,-3.13895477813161,0.267980960095497,-11.7133499970036,1.08890543933918e-31,2.44017822980562e-29
"IL11",475.119933831073,-3.44760955492275,0.294888540187797,-11.6912293462716,1.41325973503391e-31,3.12481149147564e-29
"WWP2",3045.01869466826,-2.50427928495973,0.215541153659898,-11.6185667675845,3.31653244604911e-31,7.23658652010952e-29
